row_id,content-评论内容,theme-主题,sentiment_word-情感关键词,sentiment_anls-情感正负面
1,收到了，太实惠了，买了一大箱，以后继续购买，送货速度快服务也好,NULL;送货速度;服务;,实惠;快;也好;,1;1;1;
2,热水器加热时间太长，安装费太贵，预留太阳能口摆设，根本用不到，没有水位指示器，加满热水的指示灯放在了最侧面，不方便用户看指示灯，必须斜着看才能看到，,加热时间;安装费;用户;,太长;太贵;不方便;,-1;-1;-1;
3,真**差，我都无语了。眼瞎才买了,NULL;NULL;,差;无语;,-1;-1;
4,很满意，因为出差，还没有用，东西装上我看了，非常好,NULL;NULL;,满意;好;,1;1;
5,给奶奶买的，效果不错，厂家服务也好，给好评[追评],效果;服务;NULL;,不错;也好;好评;,1;1;1;
6,还没用，等用了再来追评吧,,,
7,这个中奖有用吗？且不说中奖，这个是我买了这么多一加3t钢化膜中最高清最好看的，没有之一。,钢化膜;NULL;,高清;最好;,1;1;
8,不错，家用刚刚好，制冷也不错,NULL;制冷;NULL;,不错;不错;好;,1;1;1;
9,电流声真心受不了！而且电脑开机的时候会有爆破声。。。,电流;,受不了;,-1;
10,电视挺好，都挺满意,电视;NULL;,挺好;满意;,1;1;
11,不是特别好的购买体验 App说有货可以马上送货 结果4天收到,送货;,可以;,1;
12,我买过这个价格最差的指甲油，没有之一。秒杀买的，没有多高的期望，但真的没想到会这么差！隔着盒子还没闻到，一打盒子，那一股油漆味道，全屋子都是！太味了，和批发市场3、5元的质量差不多。不建议购买。,质量;NULL;期望;价格;,差不多;差;没有高;差;,0;-1;-1;-1;
13,粉特别干，送的唇彩不能用，颜色很难看,颜色;NULL;,难看;干;,-1;-1;
14,垃圾线，用来连titan  pascal与pg348的，不停地黑屏闪屏，我换回原配的线一点问题都没有。,NULL;线;,黑屏;垃圾;,-1;-1;
15,表带带着痒，不知道怎么回事,表带;,痒;,-1;
16,物流太慢，一个星期多才到，不是很热，有点失望,物流;NULL;,慢;失望;,-1;-1;
17,很满意，噪音控制很好，很安静，制冷效果不错，制热还没试。安装师傅很尽心，比格力的安装师傅服务好太多！,服务;NULL;制冷效果;噪音控制;安装师傅;NULL;,好;安静;不错;很好;尽心;满意;,1;1;1;1;1;1;
18,太小，一个胶囊都装不下。,,,
19,不是很满意，与原图有差异,NULL;,不是满意;,-1;
20,服务太好了，漏水了，马上换新,服务;,好;,1;
21,这个商品不是很好，用的时候感觉不太像洗面奶,商品;,不是很好;,-1;
22,本来是看中沁园的牌子买了这个净水龙头，装上以后自来水的原水TDS值205，净水的TDS值变成212，用了几天测还是这样，那我装上个净水龙头有啥用,,,
23,质量很好，速度相当快不卡顿！,质量;NULL;速度;,很好;不卡顿;快;,1;1;1;
24,太坑娘了，产品不到一半，差不多一百块太不值了,NULL;NULL;NULL;,坑;不值;差不多;,-1;-1;0;
25,清洁功能挺好，以前就算刚洗完头发不久就有粉粉的头屑，用这个洗就一点都没有了,清洁功能;,挺好;,1;
26,一直以来都用相宜本草的，还可以,NULL;,还可以;,1;
27,很不错要比婴儿店里便宜好多一直信赖京东自营,NULL;NULL;京东自营;,便宜;不错;信赖;,1;1;1;
28,扫了一下是正品！！比之前买的便宜，味道也一样！！下次还回来！物流如果能快点就好了！！,NULL;NULL;物流;,正品;便宜;好;,1;1;1;
29,是挺滋润 易摸开 味道也还可以,NULL;味道;,滋润;还可以;,1;1;
30,，有生姜味，但数码条被其他的粘住了,,,
31,质量看起来一般般哦！快递小哥赞一个,快递小哥;看起来;,赞;一般般;,1;0;
32,做工很一般不知道穿了怎么样,做工;,一般;,0;
33,订单发出后很快收到了物品，很高兴！ 只是包装的盒子像是快破了，里面的说明书也不知哪里去了，和商店购买的不同。 里面的是一样的。,NULL;订单;盒子;NULL;,很高;很快;快;破;,1;1;1;-1;
34,不是我想要的布鞋，老公一点都不喜欢,NULL;,不喜欢;,-1;
35,很好用，线足够长，质量也非常好,NULL;NULL;线;质量;,长;很好;足够;好;,1;1;1;1;
36,两个啊！谁知道你审核让不让别人看到啊？同一地放有瑕疵，同一批次的旧货？？？,NULL;,瑕疵;,-1;
37,感觉一般,感觉;,一般;,0;
38,很多东西不是通用的车型，厂家也不提醒，都无法安装，手刹套买回去不配套，无论怎么用尽力气都不能完全装进去，口子小了。排挡杆也无法使用，福特的车子扯面没有东西，而且你那个那么大，多出来干什么。储物防滑的小篮子也不防滑，车子开到哪，他就飘到哪里！坑，一点都不适用。,NULL;NULL;NULL;东西;,坑;不适用;很多;不是通用;,-1;-1;1;-1;
39,快递非常慢,快递;,慢;,-1;
40,不错哦，店家赠送的，感谢~,NULL;,不错;,1;
41,用了好几个了，很好,NULL;,很好;,1;
42,很不错，躁声很小很小，几乎静音的效果,NULL;效果;NULL;,很小;静音;不错;,1;1;1;
43,可以买，性价比高，不错,NULL;NULL;性价比;,不错;可以;高;,1;1;1;
44,不好意思评价晚了 鞋子质量非常好 跟高但是穿着不累 非常舒服 很喜欢 五分好评 祝生意兴隆财源广进,NULL;NULL;质量;穿着;NULL;,舒服;喜欢;好;高;好评;,1;1;1;1;1;
